Fair-Trade Score,Panel Test,PackagingDatumTijdEind,Gewichtscontrole,Roosterprofiel,Cyclustijd,GrindingApparaat,Opmerkingen,Batchnr,GrindingDatumTijdEind,GrindingID,LeverancierLevertijd,Koffieboon,Registratiedatum,Benuttingsgraad,Voorraadniveaus,FillingID,Duurzaamheid Score,GrindingDatumTijdStart,FillingApparaat,PackagingApparaat,Cost,FillingDatumTijdStart,PackagingDatumTijdStart,PackagingID,ProcessTime,Herkomst,Audit van Leverancier,CO2-Footprint,Klantretourpercentage,Risicokwalificatie,FillingDatumTijdEind,Klanttevredenheid,Leveranciersbeoordeling,Laatste Audit,Defectpercentage,Energieverbruik
85,Voldoet,2020-10-09 16:29:30.072815,0.93 kg,Medium-Donker,9999 hours,Grinder 5,Geen,6934,2020-10-09 14:31:14.854809,1560,20 dagen,Arabica,,80.04%,9999999,1855,62,0000-00-00 00:00:00,Filling Machine 2,Packager 3,549.03 euros,2020-10-09 14:51:41.376160,2020-10-09 15:59:46.751821,5430,4.98 hours,Puerto Rico,Goedgekeurd,10.00 kg CO2/kg,1.84%,Laag,2020-10-09 14:59:35.884383,2,5.0,2023-06-27,3.34%,173.0 kWh
54,Voldoet,2021-05-10 18:36:13.116651,0.99 kg,Medium,4.53 uur,Grinder 5,Geen,7790,2021-05-10 16:39:40.578959,2776,11 dagen,Robusta,2022-03-20,67.02%,200 units,3007,60,2021-05-10 16:07:05,Filling Machine 5,Packager 2,-999999,onbekend,2021-05-10 18:11:33.136579,5461,4.53 hours,Panama,Goedgekeurd,1.99 kg CO2/kg,0.97%,Matig,2021-05-10 17:17:43.970724,6,3.0,2022-11-19,2.13%,210.0 kWh
41,Voldoet gedeeltelijk,2021-05-04 09:01:27.956093,0.83 kg,Medium,3.27 uur,Grinder 2,Herziening vereist,1809,2021-05-04 06:58:28.503211,2736,22 dagen,Liberica,2023-07-25,78.83%,100 units,9674,52,2021-05-04 06:37:20,Filling Machine 2,Packager 2,463.71 euros,2021-05-04 07:23:44.823571,2021-05-04 08:26:25.108067,1834,3.27 hours,Zambia,Goedgekeurd,7.31 kg CO2/kg,1.73%,Matig,2021-05-04 07:33:59.736245,6,3.0,2024-06-09,2.00%,230.0 kWh
50,Voldoet,2020-05-17 18:16:16.842864,0.53 kg,Donker,4.39 uur,Grinder 2,Geen,2836,2020-05-17 15:21:18.786941,736,21 dagen,Arabica,2021-06-01,83.93%,300 units,7660,58,2020-05-17 15:11:42,Filling Machine 1,Packager 5,519.71 euros,2020-05-17 15:57:10.849990,2020-05-17 17:33:22.086576,4857,4.39 hours,Haïti,Herziening vereist,5.73 kg CO2/kg,1.37%,Hoog,2020-05-17 16:16:19.461564,3,7.0,2021-09-20,2.20%,241.0 kWh
49,Voldoet niet,2020-01-06 18:40:28.321314,0.78 kg,Medium,-5 uur,Grinder 4,Geen,5501,2020-01-06 16:43:52.532349,27,12 dagen,Liberica,2023-11-27,61.33%,200 units,6535,38,2020-01-06 16:29:41,Filling Machine 3,Packager 1,522.39 euros,2020-01-06 17:15:20.214196,31-02-2025 25:61:61,5034,4.45 hours,Haïti,Afgekeurd,6.07 kg CO2/kg,0.87%,Zeer Hoog,2020-01-06 17:24:06.334420,3,6.0,2024-10-30,2.42%,210.0 kWh
89,Voldoet,2021-10-17 19:29:49.548653,0.88 kg,Medium-Donker,4.22 uur,Grinder 1,Geen,1399,2021-10-17 17:13:05.768469,3704,17 dagen,Robusta,2020-06-30,85.40%,500 units,2034,33,2021-10-17 16:49:38,Filling Machine 1,,510.97 euros,2021-10-17 17:47:00.355843,2021-10-17 19:12:10.213380,4093,4.22 hours,Haïti,Goedgekeurd,4.96 kg CO2/kg,0.20%,Hoog,2021-10-17 17:54:05.670921,3,5.0,2021-02-28,2.65%,445.0 kWh
49,Voldoet,2020-05-17 06:34:01.215938,0.70 kg,Licht,3.48 uur,Grinder 1,Geen,3835,2020-05-17 05:01:32.464886,733,16 dagen,Liberica,,69.72%,100 units,465,34,2020-05-17 04:45:49,Filling Machine 3,Packager 4,474.18 euros,2020-05-17 05:42:16.470001,2020-05-17 06:21:18.963417,998,3.48 hours,Jemen,Afgekeurd,5.94 kg CO2/kg,1.17%,Zeer Hoog,2020-05-17 05:56:30.406087,4,5.0,2023-02-04,1.08%,371.0 kWh
53,Voldoet,2021-03-05 21:03:26.485084,1.03 kg,Medium,4.36 uur,Grinder 1,Uitstekende kwaliteit,5677,2021-03-05 18:31:39.622790,2398,12 dagen,Liberica,2022-12-21,74.65%,1000000 units,142,76,2021-03-05 17:58:21,Filling Machine 5,Packager 4,518.16 euros,2021-03-05 19:06:18.983212,2021-03-05 20:38:52.855713,4844,4.36 hours,Bolivia,Goedgekeurd,3.71 kg CO2/kg,0.76%,Hoog,2021-03-05 19:25:13.974797,3,5.0,,2.02%,423.0 kWh
44,Voldoet,2021-08-04 08:39:23.995238,0.93 kg,Medium,4.45 uur,Grinder 3,Geen,1926,2021-08-04 05:50:32.243656,3274,12 dagen,Arabica,2020-05-11,82.35%,200 units,4613,70,2021-08-04 05:30:19,Filling Machine 3,Packager 2,522.49 euros,2021-08-04 06:33:30.645339,2021-08-04 08:13:27.999841,6346,4.45 hours,Vietnam,Afgekeurd,6.71 kg CO2/kg,1.20%,Matig,2021-08-04 06:52:14.534064,6,3.0,2020-06-26,4.09%,226.0 kWh
27,Voldoet,2020-12-23 08:32:51.826060,0.81 kg,Donker,abc uur,Grinder 5,Geen,5364,2020-12-23 06:58:58.639955,1991,20 dagen,Excelsa,,78.99%,100 units,5416,53,2020-12-23 06:32:07,Filling Machine 5,Packager 5,ERROR,2020-12-23 07:39:12.972715,2020-12-23 08:04:04.265060,5508,4.92 hours,Colombia,Afgekeurd,7.10 kg CO2/kg,0.62%,Matig,2020-12-23 07:48:44.238130,4,7.0,2023-09-14,3.66%,261.0 kWh
40,Voldoet niet,2021-03-19 00:51:43.396453,0.94 kg,Medium-Donker,3.00 uur,Grinder 1,Uitstekende kwaliteit,9494,2021-03-18 23:05:59.186377,2481,25 dagen,Robusta,2020-03-20,77.65%,-999999,7143,36,2021-03-18 22:42:30,Filling Machine 1,###,450.22 euros,2021-03-18 23:25:35.182419,0000-00-00 00:00:00,2574,3.00 hours,Jamaica,Goedgekeurd,7.03 kg CO2/kg,0.92%,Laag,2021-03-18 23:44:43.761015,1,3.0,2021-02-10,0.71%,null
33,Voldoet,2023-07-13 18:23:18.230349,1.12 kg,Medium,4.31 uur,Grinder 4,Geen,1588,2023-07-13 16:17:09.026521,7276,12 dagen,Arabica,2022-04-30,79.47%,400 units,6320,35,2023-07-13 15:51:06,Filling Machine 2,Packager 1,515.54 euros,2023-07-13 16:45:34.100166,2023-07-13 17:44:49.793618,7106,4.31 hours,Venezuela,Goedgekeurd,4.99 kg CO2/kg,1.66%,Laag,onbekend,999,4.0,2022-06-06,1.27%,140.0 kWh
35,Voldoet gedeeltelijk,2021-11-20 05:19:05.231722,,Licht,4.43 uur,Grinder 3,Geen,6505,2021-11-20 03:32:53.336018,3883,9 dagen,Robusta,2021-07-16,89.52%,100 units,1730,26,2021-11-20 03:21:57,Filling Machine 4,Packager 4,521.27 euros,2021-11-20 04:14:53.057408,2021-11-20 05:18:05.231722,5717,4.43 hours,Panama,Afgekeurd,4.14 kg CO2/kg,1.09%,Matig,2021-11-20 04:25:06.858538,3,4.0,2021-12-05,2.17%,252.0 kWh
62,Voldoet,2021-04-21 06:42:39.684213,0.84 kg,Licht,4.26 uur,Grinder 3,Geen,6117,2021-04-21 03:40:50.255007,XXXX,23 dagen,Robusta,2020-10-31,64.05%,100 units,1269,35,0000-00-00 00:00:00,Filling Machine 4,Packager 5,513.12 euros,2021-04-21 04:16:46.646887,2021-04-21 06:01:11.681534,5415,4.26 hours,Kenia,Goedgekeurd,4.83 kg CO2/kg,1.26%,Hoog,onbekend,2,1.0,2021-10-24,2.39%,266.0 kWh
96,Voldoet,2022-02-28 07:38:29.605427,1.16 kg,Medium-Donker,4.53 uur,Grinder 4,Geen,2029,2022-02-28 05:17:46.431429,4486,8 dagen,Arabica,2023-07-23,57.61%,400 units,9016,57,2022-02-28 05:00:15,Filling Machine 2,Packager 4,526.75 euros,0000-00-00 00:00:00,2022-02-28 07:18:01.062690,8958,4.53 hours,Brazilië,Afgekeurd,9.75 kg CO2/kg,0.85%,Kritiek,2022-02-28 06:07:20.264887,5,4.0,2024-06-20,0.65%,203.0 kWh
47,Voldoet,2022-02-26 11:37:40.602964,1.38 kg,Medium-Donker,4.46 uur,Grinder 2,Uitstekende kwaliteit,2707,2022-02-26 09:20:24.679687,4470,13 dagen,Arabica,,71.18%,500 units,9187,43,2022-02-26 09:00:19,Filling Machine 4,Onbekend apparaat,523.17 euros,2022-02-26 09:45:17.329323,2022-02-26 11:07:14.177938,8171,4.46 hours,Zambia,Goedgekeurd,4.14 kg CO2/kg,0.00%,Hoog,2022-02-26 10:06:10.362895,6,2.0,2024-01-03,1.97%,220.0 kWh
44,Voldoet,2020-07-13 15:02:08.566054,0.74 kg,Licht,5.49 uur,Grinder 2,Geen,3013,2020-07-13 13:12:20.715459,1068,21 dagen,Robusta,2020-10-11,100.00%,400 units,2987,32,2020-07-13 12:47:54,Filling Machine 2,Packager 1,574.58 euros,2020-07-13 13:40:00.241731,2020-07-13 14:30:15.366214,1400,5.49 hours,Jamaica,Goedgekeurd,10.00 kg CO2/kg,1.18%,Hoog,2020-07-13 13:55:43.753365,5,3.0,2021-04-14,2.08%,154.0 kWh
66,Voldoet niet,2023-10-09 18:14:20.794458,0.56 kg,Medium-Donker,4.81 uur,Grinder 1,Geen,6004,2023-10-09 16:00:39.003265,7737,16 dagen,Arabica,2021-12-10,66.91%,100 units,8842,51,2023-10-09 15:34:39,Filling Machine 1,Packager 1,540.46 euros,2023-10-09 16:35:46.771928,2023-10-09 17:45:12.156950,2732,4.81 hours,Brazilië,Afgekeurd,7.22 kg CO2/kg,0.58%,Kritiek,2023-10-09 16:46:56.568669,5,7.0,2022-09-18,2.23%,485.0 kWh
38,Voldoet niet,2022-03-26 16:06:46.710157,0.94 kg,Medium,3.43 uur,Grinder 2,Geen,6962,2022-03-26 14:16:27.065355,4654,15 dagen,Robusta,2023-02-21,70.67%,500 units,4297,76,2022-03-26 13:56:03,Filling Machine 2,Packager 5,471.37 euros,2022-03-26 14:40:25.918159,2022-03-26 16:00:05.037878,4296,3.43 hours,Ivoorkust,Goedgekeurd,10.00 kg CO2/kg,1.01%,Hoog,31-02-2025 25:61:61,3,6.0,2023-11-06,1.98%,163.0 kWh
72,Voldoet,2023-07-12 17:03:49.629390,,Donker,2.50 uur,Grinder 4,Geen,8059,2023-07-12 14:53:26.518231,7269,16 dagen,Arabica,2023-05-22,52.01%,100 units,1645,30,2023-07-12 14:27:47,Filling Machine 3,Packager 5,425.00 euros,2023-07-12 15:30:50.241277,2023-07-12 16:40:39.813160,3671,2.50 hours,Panama,Goedgekeurd,6.49 kg CO2/kg,1.67%,Matig,2023-07-12 15:44:30.718852,999,2.0,2023-12-09,3.05%,onbekend
43,Voldoet niet,2021-07-30 21:48:55.875991,0.81 kg,Medium,3.93 uur,Grinder 3,Herziening vereist,2739,2021-07-30 19:58:47.346557,0000,9 dagen,Robusta,2021-09-04,71.04%,500 units,3043,42,2021-07-30 19:34:11,Filling Machine 3,Packager 1,496.26 euros,2021-07-30 20:26:45.909542,2021-07-30 21:23:43.930524,3876,3.93 hours,Uganda,Goedgekeurd,8.67 kg CO2/kg,0.71%,Laag,2021-07-30 20:36:47.319604,3,6.0,2022-05-15,2.18%,263.0 kWh
47,Voldoet,2022-07-14 21:36:02.450213,1.05 kg,Medium,3.87 uur,Grinder 4,Geen,2517,0000-00-00 00:00:00,5270,10 dagen,Liberica,2020-06-26,75.21%,300 units,3298,48,2022-07-14 19:37:30,Filling Machine 2,Packager 4,493.54 euros,2022-07-14 20:02:19.219097,2022-07-14 20:58:43.352096,9317,3.87 hours,Zambia,Afgekeurd,3.31 kg CO2/kg,0.97%,Matig,2022-07-14 20:07:04.352059,6,4.0,2020-10-23,2.87%,236.0 kWh
24,Voldoet,2023-02-16 16:11:08.531212,1.13 kg,Medium-Donker,3.51 uur,Grinder 1,Geen,1717,2023-02-16 13:47:14.543045,6483,5 dagen,Arabica,2023-12-17,73.67%,500 units,9343,66,31-02-2025 25:61:61,Filling Machine 1,Packager 1,475.40 euros,onbekend,2023-02-16 15:45:23.229115,540,3.51 hours,Papoea-Nieuw-Guinea,Afgekeurd,3.94 kg CO2/kg,0.58%,Zeer Hoog,2023-02-16 14:42:15.713362,6,4.0,2024-10-16,1.74%,329.0 kWh
60,Voldoet,31-02-2025 25:61:61,0.97 kg,Medium-Donker,5.29 uur,Grinder 3,Uitstekende kwaliteit,7479,2020-06-16 10:13:05.901197,916,17 dagen,Arabica,2023-11-18,77.61%,ERROR,7650,42,2020-06-16 09:54:34,Filling Machine 1,Packager 2,564.49 euros,2020-06-16 10:42:15.730713,2020-06-16 12:20:38.528060,7764,5.29 hours,Puerto Rico,Herziening vereist,4.90 kg CO2/kg,0.89%,Hoog,2020-06-16 10:58:15.745053,2,4.0,2024-01-26,1.48%,127.0 kWh
52,Voldoet,2022-03-10 18:40:40.003643,0.96 kg,Medium-Donker,2.59 uur,Grinder 4,Geen,9058,0000-00-00 00:00:00,4552,17 dagen,Robusta,2022-10-19,77.94%,200 units,2243,37,2022-03-10 16:38:35,Filling Machine 2,Packager 4,429.70 euros,2022-03-10 17:11:28.097492,2022-03-10 18:17:21.077460,4267,2.59 hours,Jemen,Herziening vereist,8.78 kg CO2/kg,0.61%,Matig,2022-03-10 17:17:43.283826,4,2.0,2022-12-26,2.49%,213.0 kWh
9,Voldoet,2021-03-16 16:13:56.653214,0.88 kg,Licht,3.96 uur,Grinder 4,Geen,4652,31-02-2025 25:61:61,2467,14 dagen,Excelsa,2022-09-04,72.75%,100 units,2112,56,2021-03-16 13:43:13,Filling Machine 1,Packager 1,497.80 euros,2021-03-16 14:36:08.609019,2021-03-16 15:55:16.722659,5769,-2 hours,Tanzania,Herziening vereist,3.79 kg CO2/kg,1.48%,Hoog,2021-03-16 14:55:18.072302,9,,2023-05-20,2.51%,193.0 kWh
37,Voldoet niet,0000-00-00 00:00:00,0.72 kg,Licht,3.71 uur,Grinder 2,Uitstekende kwaliteit,1481,2020-10-29 14:21:44.297612,1695,9 dagen,Robusta,2020-03-05,71.78%,300 units,7314,48,2020-10-29 14:00:07,Filling Machine 5,Packager 3,ERROR,2020-10-29 15:02:09.622955,2020-10-29 16:28:48.649023,6144,-2 hours,Filipijnen,Goedgekeurd,4.66 kg CO2/kg,1.68%,Hoog,2020-10-29 15:20:33.938423,5,4.0,2020-11-25,2.34%,153.0 kWh
83,Voldoet,2023-07-22 02:08:26.308445,1.02 kg,Licht,3.42 uur,Grinder 1,Geen,1608,2023-07-21 23:42:12.793707,7320,14 dagen,Arabica,2023-01-02,80.43%,100 units,6918,56,2023-07-21 23:20:15,Filling Machine 1,Packager 5,470.77 euros,2023-07-22 00:10:00.360232,2023-07-22 01:37:00.476570,4017,3.42 hours,Ecuador,Goedgekeurd,4.57 kg CO2/kg,1.42%,Hoog,2023-07-22 00:27:13.041185,6,4.0,2023-09-09,1.35%,353.0 kWh
36,Voldoet niet,2020-02-08 13:11:58.217207,0.94 kg,Licht,3.87 uur,Grinder 3,Geen,8260,2020-02-08 11:36:00.775818,0000,11 dagen,Robusta,2020-06-04,76.05%,200 units,6390,38,2020-02-08 11:12:26,Filling Machine 3,Packager 2,-999999,2020-02-08 12:01:31.811755,2020-02-08 12:45:44.099741,7626,3.87 hours,Colombia,Goedgekeurd,7.19 kg CO2/kg,1.17%,Matig,2020-02-08 12:09:58.360070,3,3.0,,2.88%,227.0 kWh
25,Voldoet niet,2023-09-08 19:10:51.188657,0.59 kg,Medium,3.00 uur,Grinder 3,Geen,5767,2023-09-08 16:46:01.124668,7576,25 dagen,Excelsa,2023-12-15,69.85%,200 units,6197,68,31-02-2025 25:61:61,Filling Machine 3,Packager 1,449.96 euros,2023-09-08 17:19:05.802999,2023-09-08 18:48:13.403142,8919,3.00 hours,Ecuador,Herziening vereist,5.11 kg CO2/kg,1.37%,Kritiek,2023-09-08 17:35:05.867715,7,5.0,2024-03-18,2.63%,263.0 kWh
67,Voldoet,2021-10-30 18:20:37.278700,0.95 kg,Medium,4.49 uur,Grinder 2,Herziening vereist,6663,2021-10-30 15:06:20.877136,3768,18 dagen,Arabica,2020-08-12,58.12%,300 units,9442,43,2021-10-30 14:50:28,Filling Machine 4,Packager 1,524.30 euros,2021-10-30 15:32:37.265317,2021-10-30 17:35:57.416110,6338,4.49 hours,Democratische Republiek Congo,Goedgekeurd,,0.86%,Hoog,2021-10-30 15:55:08.857838,7,3.0,2021-06-13,1.64%,157.0 kWh
52,Voldoet,2022-10-31 14:26:04.129820,0.89 kg,Medium,3.43 uur,Grinder 4,Herziening vereist,7757,2022-10-31 12:26:56.008653,5860,14 dagen,Arabica,2023-12-15,65.60%,300 units,3568,24,2022-10-31 12:19:41,Filling Machine 2,Packager 1,471.41 euros,2022-10-31 12:57:23.988501,2022-10-31 13:46:37.122084,3478,3.43 hours,Malawi,Afgekeurd,2.17 kg CO2/kg,0.85%,Matig,2022-10-31 13:06:48.034658,3,2.0,2024-07-16,0.70%,270.0 kWh
34,Voldoet,2020-12-19 09:19:27.714164,1.29 kg,Medium,3.49 uur,Grinder 1,Herziening vereist,6812,2020-12-19 07:25:01.539042,9999,19 dagen,Arabica,2022-04-05,73.67%,500 units,1277,58,2020-12-19 07:04:19,Filling Machine 5,Packager 3,474.41 euros,2020-12-19 07:47:13.414160,2020-12-19 08:50:43.642982,6863,3.49 hours,Uganda,Goedgekeurd,6.09 kg CO2/kg,2.00%,Matig,2020-12-19 08:03:26.828019,4,5.0,2022-12-12,2.73%,396.0 kWh
49,Voldoet gedeeltelijk,2020-01-12 21:47:44.150423,0.93 kg,Medium,2.73 uur,Grinder 5,Geen,2679,2020-01-12 19:34:11.584843,61,18 dagen,Arabica,2020-09-18,85.39%,300 units,5656,74,2020-01-12 19:17:45,Filling Machine 3,Packager 3,436.65 euros,2020-01-12 20:03:35.588720,2020-01-12 21:11:15.572767,7313,2.73 hours,Honduras,Afgekeurd,3.10 kg CO2/kg,1.45%,Zeer Hoog,2020-01-12 20:20:11.140154,4,3.0,2021-05-10,1.62%,236.0 kWh
48,Voldoet gedeeltelijk,2020-01-23 15:38:30.580768,1.24 kg,Medium,5.51 uur,Grinder 3,Geen,3839,2020-01-23 13:51:34.732051,128,13 dagen,Arabica,2023-04-01,90.74%,500 units,4444,55,2020-01-23 13:28:12,Filling Machine 3,Packager 4,575.49 euros,onbekend,2020-01-23 15:03:48.751639,4327,5.51 hours,Jemen,Afgekeurd,7.33 kg CO2/kg,0.95%,Hoog,2020-01-23 14:36:50.562776,7,6.0,2023-10-29,0.46%,290.0 kWh
67,Voldoet,2021-06-16 02:53:34.004792,1.22 kg,Medium,5.02 uur,Grinder 4,Geen,9393,2021-06-16 00:16:07.894122,2980,14 dagen,Liberica,2023-07-18,75.30%,200 units,3741,45,2021-06-15 23:49:23,Filling Machine 2,Packager 5,550.91 euros,2021-06-16 00:49:43.434268,2021-06-16 02:17:34.318891,293,5.02 hours,Venezuela,Goedgekeurd,5.23 kg CO2/kg,0.13%,Matig,2021-06-16 01:11:09.407009,6,4.0,2023-11-08,1.59%,243.0 kWh
32,Voldoet niet,2021-12-15 06:35:17.319572,0.87 kg,Licht,9999 hours,Grinder 3,Geen,9615,2021-12-15 04:09:32.991144,4043,14 dagen,Arabica,2021-06-16,65.20%,400 units,5805,57,2021-12-15 03:57:00,Filling Machine 1,Packager 1,,2021-12-15 04:32:59.287970,2021-12-15 05:49:48.565257,1583,4.12 hours,Jemen,Afgekeurd,8.11 kg CO2/kg,0.55%,Matig,onbekend,7,3.0,2022-01-18,1.86%,328.0 kWh
71,Voldoet,2020-02-26 22:14:44.602756,0.94 kg,Medium-Donker,4.54 uur,Grinder 3,Geen,5099,2020-02-26 19:23:47.820401,323,10 dagen,Liberica,2022-01-21,72.52%,100 units,9078,70,2020-02-26 19:04:44,Filling Machine 4,Packager 4,527.24 euros,2020-02-26 20:17:07.407199,2020-02-26 21:53:26.467085,4177,???,Myanmar,Afgekeurd,5.91 kg CO2/kg,0.61%,Hoog,2020-02-26 20:31:05.544160,3,5.0,2022-05-17,0.00%,199.0 kWh
53,Voldoet,2022-02-04 16:12:52.757555,0.90 kg,Licht,3.20 uur,Grinder 3,Geen,6392,2022-02-04 14:11:20.810087,4330,14 dagen,Arabica,2021-03-28,75.37%,400 units,9417,100,2022-02-04 13:49:33,Filling Machine 1,Packager 4,459.93 euros,2022-02-04 14:43:25.829080,2022-02-04 15:33:27.400077,190,3.20 hours,Honduras,Goedgekeurd,4.06 kg CO2/kg,0.74%,Hoog,2022-02-04 14:51:42.855938,4,4.0,2021-07-20,3.57%,345.0 kWh
33,Voldoet,2022-09-15 05:33:02.861312,1.27 kg,Medium,3.67 uur,Grinder 2,Geen,2577,2022-09-15 02:57:10.933179,5601,5 dagen,Robusta,2023-09-25,70.83%,400 units,9961,53,2022-09-15 02:45:53,Filling Machine 4,Packager 2,483.45 euros,2022-09-15 03:36:17.984810,2022-09-15 05:06:54.132603,6654,3.67 hours,Laos,Herziening vereist,3.66 kg CO2/kg,0.83%,Laag,2022-09-15 03:49:59.381951,3,3.0,2024-04-15,3.35%,283.0 kWh
29,Voldoet gedeeltelijk,2021-01-07 03:13:24.367547,0.99 kg,Licht,3.24 uur,Grinder 4,Uitstekende kwaliteit,4503,2021-01-07 01:08:05.253929,9999,16 dagen,Robusta,2023-03-15,58.50%,300 units,3821,35,2021-01-07 00:47:42,Filling Machine 5,Packager 4,461.91 euros,2021-01-07 01:32:58.281071,2021-01-07 02:39:02.862902,1911,3.24 hours,Ivoorkust,Herziening vereist,8.31 kg CO2/kg,0.52%,Hoog,2021-01-07 01:51:52.068559,2,2.0,2023-10-08,2.04%,232.0 kWh
39,Voldoet,2020-01-26 13:53:17.157930,1.19 kg,Licht,4.16 uur,Grinder 4,Geen,4213,2020-01-26 11:08:25.013167,145,17 dagen,Arabica,2022-07-13,70.27%,500 units,558,27,2020-01-26 10:40:08,Filling Machine 1,Packager 2,508.20 euros,2020-01-26 11:47:17.526826,2020-01-26 13:18:00.736980,4614,4.16 hours,Guatemala,Goedgekeurd,8.41 kg CO2/kg,1.22%,Laag,2020-01-26 12:05:44.773266,2,4.0,2022-10-19,2.05%,214.0 kWh
20,Voldoet,2020-07-02 14:12:55.971127,1.22 kg,Medium-Donker,3.95 uur,Grinder 3,Geen,4419,2020-07-02 11:50:56.742754,1001,23 dagen,Arabica,2021-07-01,88.21%,400 units,2371,44,2020-07-02 11:27:09,Filling Machine 3,Packager 2,497.54 euros,2020-07-02 12:21:51.045720,2020-07-02 13:43:03.869747,1435,3.95 hours,Burundi,Goedgekeurd,5.71 kg CO2/kg,1.13%,Matig,2020-07-02 12:32:45.201787,-3,4.0,2021-08-29,1.82%,-100 kWh
40,Voldoet,2023-08-01 01:56:34.852573,0.84 kg,Donker,3.69 uur,Grinder 2,Geen,9543,2023-08-01 00:10:20.405592,7366,11 dagen,Robusta,2020-04-17,56.24%,500 units,2743,29,2023-07-31 23:40:27,Filling Machine 2,Packager 3,484.65 euros,2023-08-01 00:35:13.926532,2023-08-01 01:32:36.004876,4760,3.69 hours,Venezuela,Goedgekeurd,2.06 kg CO2/kg,0.63%,Laag,31-02-2025 25:61:61,6,4.0,2020-06-28,1.25%,168.0 kWh
45,Voldoet gedeeltelijk,2020-01-11 20:42:03.547260,1.15 kg,Medium,5.71 uur,Grinder 1,Geen,5919,2020-01-11 18:48:07.824468,56,15 dagen,Arabica,2021-04-18,83.21%,100 units,4985,34,2020-01-11 18:22:34,Filling Machine 5,Packager 1,585.28 euros,31-02-2025 25:61:61,2020-01-11 19:58:01.452623,399,5.71 hours,Vietnam,Goedgekeurd,1.83 kg CO2/kg,1.48%,Matig,2020-01-11 19:23:14.764194,5,5.0,2021-05-29,3.23%,393.0 kWh
63,Voldoet niet,2023-02-01 19:42:44.624832,1.09 kg,Medium,4.86 uur,Grinder 2,Geen,3245,2023-02-01 17:56:07.175622,6406,12 dagen,Robusta,2022-05-29,78.10%,300 units,1824,999,2023-02-01 17:47:24,Filling Machine 1,Packager 1,543.08 euros,2023-02-01 18:25:35.947330,2023-02-01 19:17:13.412739,6374,4.86 hours,El Salvador,Herziening vereist,4.78 kg CO2/kg,1.39%,Kritiek,2023-02-01 18:36:24.381870,2,7.0,2023-02-22,3.19%,???
70,Voldoet,2021-05-31 06:47:30.828352,1.08 kg,Medium,4.00 uur,Grinder 1,Geen,4763,2021-05-31 04:57:57.706389,2881,13 dagen,Robusta,2023-12-05,66.84%,200 units,8624,999,2021-05-31 04:35:37,Filling Machine 5,Packager 5,499.89 euros,2021-05-31 05:29:53.563329,2021-05-31 06:39:11.256695,4537,4.00 hours,Guatemala,Goedgekeurd,9.52 kg CO2/kg,0.98%,Laag,2021-05-31 05:48:29.591858,onbekend,3.0,2024-02-26,2.40%,356.0 kWh
26,Voldoet,2022-04-04 00:09:27.025847,1.15 kg,Medium,3.47 uur,Grinder 4,Geen,8485,2022-04-03 21:20:32.567351,4709,5 dagen,Robusta,2021-11-24,69.63%,1000000 units,6384,43,2022-04-03 20:56:45,Filling Machine 4,Packager 5,473.66 euros,2022-04-03 21:44:28.856760,2022-04-03 23:43:39.131327,847,3.47 hours,Papoea-Nieuw-Guinea,Afgekeurd,4.05 kg CO2/kg,1.63%,Matig,2022-04-03 22:00:46.734102,4,6.0,2022-04-26,2.14%,278.0 kWh
83,Voldoet gedeeltelijk,2022-08-02 03:17:50.991567,0.86 kg,Medium,4.30 uur,Grinder 1,Geen,3018,2022-08-02 00:18:58.337229,5356,16 dagen,Excelsa,2020-03-07,60.27%,400 units,4099,52,2022-08-01 23:57:42,Filling Machine 1,Packager 5,515.19 euros,2022-08-02 01:16:01.944753,2022-08-02 02:53:47.080921,811,4.30 hours,Democratische Republiek Congo,Herziening vereist,1.29 kg CO2/kg,0.40%,Kritiek,2022-08-02 01:26:37.043937,3,8.0,2021-01-01,2.69%,444.0 kWh
45,Voldoet niet,2021-11-06 08:05:11.035835,1.29 kg,Donker,3.48 uur,Grinder 5,Uitstekende kwaliteit,4101,2021-11-06 05:58:02.064132,3805,5 dagen,Arabica,2020-06-03,52.62%,100 units,7686,44,2021-11-06 05:32:43,Filling Machine 2,,474.14 euros,onbekend,2021-11-06 07:41:34.351789,4226,3.48 hours,Ethiopië,Herziening vereist,3.63 kg CO2/kg,1.03%,Hoog,2021-11-06 06:48:39.215519,3,4.0,2020-09-01,2.84%,268.0 kWh
21,Voldoet,onbekend,1.11 kg,Licht,3.77 uur,Grinder 5,Geen,5518,2020-02-07 05:40:58.297166,213,18 dagen,Robusta,2022-11-26,86.16%,100 units,3611,48,2020-02-07 05:22:47,Filling Machine 2,Onbekend apparaat,488.66 euros,2020-02-07 06:21:23.739739,2020-02-07 07:18:52.288268,7252,3.77 hours,Puerto Rico,Goedgekeurd,1.61 kg CO2/kg,0.72%,Laag,2020-02-07 06:36:59.490716,6,4.0,2023-05-06,2.16%,313.0 kWh
